Gene ID	Gene Name	DO221123	DO221124	DO221127	DO221129	DO222303	DO222304	DO222305	DO222306	DO222307	DO222308	DO222309	DO27763	DO27764	DO27765	DO27767	DO27769	DO27773	DO27775	DO27777	DO27779
ENSG00000000003	TSPAN6	4.0	5.0	1.0	2.0	3.0	0.8	2.0	2.0	2.0	3.0	6.0	2.0	0.7	0.8	4.0	2.0	4.0	2.0	4.0	8.0
ENSG00000000005	TNMD		0.4			0.1				0.1			0.1	0.1	0.1	0.1	0.1	0.1			0.6
ENSG00000000419	DPM1	154.0	90.0	118.0	99.0	78.0	82.0	91.0	109.0	64.0	118.0	75.0	117.0	91.0	116.0	103.0	141.0	137.0	148.0	107.0	104.0
ENSG00000000457	SCYL3	23.0	11.0	4.0	14.0	3.0	5.0	3.0	3.0	4.0	2.0	7.0	15.0	10.0	7.0	8.0	8.0	16.0	9.0	8.0	8.0
ENSG00000000460	C1orf112	17.0	8.0	12.0	15.0	6.0	8.0	8.0	7.0	7.0	3.0	7.0	23.0	16.0	15.0	19.0	21.0	10.0	18.0	7.0	8.0
ENSG00000000938	FGR	60.0	32.0	18.0	26.0	21.0	5.0	19.0	23.0	50.0	12.0	36.0	28.0	30.0	41.0	57.0	104.0	38.0	77.0	112.0	15.0
ENSG00000000971	CFH	17.0	22.0	15.0	17.0	15.0	3.0	8.0	16.0	15.0	7.0	17.0	9.0	3.0	7.0	86.0	11.0	15.0	13.0	25.0	22.0
ENSG00000001036	FUCA2	44.0	22.0	55.0	32.0	29.0	35.0	22.0	50.0	25.0	37.0	43.0	11.0	4.0	8.0	33.0	11.0	24.0	16.0	41.0	24.0
ENSG00000001084	GCLC	14.0	19.0	5.0	15.0	5.0	5.0	5.0	14.0	7.0	7.0	5.0	6.0	6.0	8.0	10.0	10.0	16.0	8.0	13.0	12.0
ENSG00000001167	NFYA	48.0	52.0	16.0	39.0	12.0	13.0	12.0	16.0	13.0	15.0	17.0	47.0	43.0	47.0	43.0	44.0	66.0	44.0	47.0	30.0
ENSG00000001460	STPG1	4.0	4.0	1.0	4.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	1.0	5.0
ENSG00000001461	NIPAL3	12.0	15.0	4.0	13.0	4.0	4.0	6.0	7.0	4.0	9.0	7.0	4.0	6.0	6.0	10.0	7.0	17.0	8.0	14.0	8.0
ENSG00000001497	LAS1L	43.0	72.0	16.0	40.0	75.0	54.0	61.0	51.0	58.0	70.0	60.0	50.0	52.0	62.0	35.0	40.0	34.0	39.0	38.0	54.0
ENSG00000001561	ENPP4	36.0	18.0	15.0	18.0	4.0	9.0	3.0	7.0	6.0	5.0	7.0	7.0	8.0	10.0	13.0	13.0	23.0	15.0	18.0	12.0
ENSG00000001617	SEMA3F	6.0	8.0	5.0	5.0	9.0	3.0	3.0	5.0	3.0	6.0	5.0	2.0	5.0	4.0	13.0	3.0	3.0	4.0	7.0	8.0
ENSG00000001626	CFTR					0.1								0.1							0.1
ENSG00000001629	ANKIB1	26.0	33.0	12.0	38.0	4.0	6.0	6.0	10.0	5.0	6.0	6.0	17.0	30.0	21.0	37.0	18.0	39.0	26.0	33.0	19.0
ENSG00000001630	CYP51A1	4.0	4.0	2.0	2.0	0.2	0.8	0.2	0.8	0.3	0.8	0.5	0.4	0.7	2.0	3.0	1.0	1.0	2.0	6.0	0.8
ENSG00000001631	KRIT1	23.0	24.0	7.0	27.0	3.0	6.0	3.0	7.0	3.0	5.0	5.0	19.0	21.0	23.0	24.0	18.0	36.0	22.0	20.0	13.0
ENSG00000002016	RAD52	8.0	17.0	2.0	11.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	21.0	19.0	13.0	10.0	17.0	14.0	13.0	6.0	7.0
ENSG00000002079	MYH16	0.1	0.2		0.1	0.1	0.1		0.1		0.1			0.8	0.1	0.1			0.1	0.1	0.2
ENSG00000002330	BAD	41.0	33.0	64.0	27.0	75.0	88.0	86.0	73.0	91.0	156.0	132.0	28.0	41.0	26.0	24.0	30.0	34.0	26.0	17.0	26.0
ENSG00000002549	LAP3	213.0	190.0	168.0	165.0	120.0	104.0	202.0	190.0	111.0	105.0	182.0	55.0	56.0	100.0	187.0	103.0	115.0	89.0	217.0	88.0
ENSG00000002586	CD99	341.0	251.0	63.0	79.0	160.0	31.0	89.0	171.0	256.0	474.0	363.0	81.0	108.0	56.0	150.0	78.0	101.0	76.0	74.0	141.0
ENSG00000002587	HS3ST1	4.0	2.0	0.7	0.8	1.0	1.0	3.0	0.4	0.7	0.5	2.0	0.5	0.5	0.5	1.0	0.4	12.0	3.0	0.4	3.0
ENSG00000002726	AOC1	1.0	0.6	0.1	0.3	0.8	0.1	0.5	0.3	0.5	0.5	3.0	0.1	2.0	0.3	0.6	0.1	3.0	0.5		0.5
ENSG00000002745	WNT16	0.2	0.2	0.1	0.9	0.1		0.2		0.1	0.1	0.3	0.3	1.0	0.2	0.2	0.1	0.5	0.2	0.1	1.0
ENSG00000002746	HECW1		0.1			0.1		0.1		0.1	0.7	0.1		0.2						0.1	0.1
ENSG00000002822	MAD1L1	19.0	9.0	5.0	13.0	41.0	27.0	57.0	47.0	38.0	55.0	29.0	56.0	77.0	32.0	47.0	31.0	24.0	34.0	11.0	20.0
ENSG00000002834	LASP1	201.0	144.0	45.0	151.0	48.0	83.0	146.0	102.0	77.0	137.0	103.0	76.0	96.0	87.0	144.0	88.0	126.0	83.0	220.0	139.0
ENSG00000002919	SNX11	40.0	61.0	74.0	47.0	27.0	101.0	264.0	49.0	100.0	89.0	53.0	14.0	18.0	15.0	19.0	16.0	47.0	19.0	25.0	95.0
ENSG00000002933	TMEM176A	91.0	52.0	28.0	43.0	119.0	36.0	95.0	140.0	97.0	76.0	175.0	13.0	27.0	11.0	52.0	18.0	29.0	34.0	40.0	35.0
ENSG00000003056	M6PR	147.0	142.0	61.0	95.0	25.0	29.0	38.0	29.0	31.0	20.0	47.0	38.0	38.0	40.0	82.0	54.0	125.0	72.0	121.0	45.0
ENSG00000003096	KLHL13	0.1	0.2	5.0	0.1	0.1	0.1		0.1	0.8	0.1	0.1	1.0		0.1	0.5	1.0	0.5	0.3	0.9	0.2
ENSG00000003137	CYP26B1	17.0	6.0	0.6	9.0	3.0	1.0	2.0	5.0	1.0	2.0	4.0	2.0	1.0	0.5	6.0	1.0	5.0	2.0	9.0	3.0
